window_key,window_ts,window_id,market_slug,target_buy_second,target_sell_second,up_0,up_10,up_20,up_30,up_0_bucket,up_10_bucket,up_20_bucket,up_30_bucket,up_slope_0_30,up_slope_dir,btc_slope_0_30,btc_slope_dir,crossed_below_45_before_buy,crossed_above_55_before_buy,spread_30,spread_30_bucket,up_volatility_0_buy,btc_volatility_0_buy,up_range_0_buy,btc_change_0_buy,up_change_10_30,up_profit_c,down_profit_c,up_win,down_win
1773925200__btc-updown-5m-1773924900,1773925200,1773925200,btc-updown-5m-1773924900,65,265,56.5,67.5,67.5,71.0,gt55,gt55,gt55,gt55,0.48333333333333334,positive,1.7320000000002134,positive,False,True,42.5,up_dominant,6.042344647054856,22.908838386956376,26.0,-10.190000000002328,3.5,-1.0,5.5,False,True
1773925500__btc-updown-5m-1773925200,1773925500,1773925500,btc-updown-5m-1773925200,65,265,53.5,48.5,46.5,41.5,45to55,45to55,45to55,lt45,-0.4,negative,-0.920000000000194,negative,True,True,-17.0,down_dominant,4.677084004399076,20.166534088765854,21.0,26.55999999999767,-7.0,37.5,-36.0,True,False
1773925800__btc-updown-5m-1773925500,1773925800,1773925800,btc-updown-5m-1773925500,65,265,45.5,49.5,52.5,45.5,45to55,45to55,45to55,45to55,0.0,flat,-0.6273333333330811,negative,True,False,-9.0,down_dominant,6.269853682298242,20.12225542430259,23.0,-74.38999999999942,-4.0,20.0,-19.0,True,False
1773926400__btc-updown-5m-1773926100,1773926400,1773926400,btc-updown-5m-1773926100,65,265,53.5,63.0,57.5,54.5,45to55,gt55,gt55,45to55,0.03333333333333333,positive,0.48033333333344974,positive,False,True,9.5,up_dominant,7.983356913185442,30.77167243801942,30.5,112.1700000000128,-8.5,20.0,-20.0,True,False
1773926700__btc-updown-5m-1773926400,1773926700,1773926700,btc-updown-5m-1773926400,65,265,54.5,64.5,78.0,82.0,45to55,gt55,gt55,gt55,0.9166666666666666,positive,3.9056666666666087,positive,False,True,63.5,up_dominant,9.849676501332413,44.43234936803069,35.5,50.74000000000524,17.5,-16.5,15.5,False,True
1773927000__btc-updown-5m-1773926700,1773927000,1773927000,btc-updown-5m-1773926700,65,265,50.5,47.5,41.5,42.5,45to55,45to55,lt45,lt45,-0.26666666666666666,negative,-0.6526666666667249,negative,True,False,-15.0,down_dominant,4.071791750868727,11.023840203110165,15.0,-5.400000000008731,-5.0,28.0,-29.0,True,False
1773927300__btc-updown-5m-1773927000,1773927300,1773927300,btc-updown-5m-1773927000,65,265,49.5,40.5,45.0,38.5,45to55,lt45,45to55,lt45,-0.36666666666666664,negative,-2.286000000000058,negative,True,False,-26.0,down_dominant,8.251290351827167,40.374692576733906,25.0,72.74000000000524,-2.0,48.5,-47.0,True,False
1773927600__btc-updown-5m-1773927300,1773927600,1773927600,btc-updown-5m-1773927300,65,265,45.5,45.5,46.5,39.0,45to55,45to55,45to55,lt45,-0.21666666666666667,negative,-2.3980000000000774,negative,True,False,-22.5,down_dominant,4.484720514144757,25.505824810978666,19.0,-93.59000000001106,-6.5,-35.0,36.0,False,True
1773927900__btc-updown-5m-1773927600,1773927900,1773927900,btc-updown-5m-1773927600,65,265,50.5,60.5,61.5,56.5,45to55,gt55,gt55,gt55,0.2,positive,0.13133333333341093,positive,True,True,13.0,up_dominant,7.002938678707751,40.903608604594965,21.5,62.310000000012224,-4.0,47.0,-47.0,True,False
1773928200__btc-updown-5m-1773927900,1773928200,1773928200,btc-updown-5m-1773927900,65,265,51.0,40.0,36.5,36.0,45to55,lt45,lt45,lt45,-0.5,negative,-1.9683333333334303,negative,True,False,-26.5,down_dominant,8.424296925919185,31.142515671814458,33.5,-82.4600000000064,-4.0,34.0,-35.5,True,False
1773928500__btc-updown-5m-1773928200,1773928500,1773928500,btc-updown-5m-1773928200,65,265,46.5,52.5,43.5,39.5,45to55,45to55,lt45,lt45,-0.23333333333333334,negative,-0.8443333333333916,negative,True,False,-22.5,down_dominant,4.493522784587906,24.917167471956322,18.0,-51.23000000001048,-13.0,35.0,-36.0,True,False
